id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
81,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",29-06-2021 04:00:00,PM2.5,35.0,58.0,47.0,
82,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",29-06-2021 04:00:00,PM10,55.0,99.0,73.0,
83,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",29-06-2021 04:00:00,NO2,15.0,59.0,33.0,
84,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",29-06-2021 04:00:00,NH3,2.0,2.0,2.0,
85,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",29-06-2021 04:00:00,SO2,3.0,5.0,4.0,
86,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",29-06-2021 04:00:00,CO,26.0,80.0,52.0,
87,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",29-06-2021 04:00:00,OZONE,17.0,63.0,33.0,
88,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",29-06-2021 04:00:00,PM2.5,3.0,80.0,49.0,
89,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",29-06-2021 04:00:00,PM10,56.0,74.0,62.0,
90,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",29-06-2021 04:00:00,NO2,17.0,32.0,24.0,
91,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",29-06-2021 04:00:00,NH3,,,,
92,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",29-06-2021 04:00:00,SO2,14.0,23.0,19.0,
93,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",29-06-2021 04:00:00,CO,32.0,78.0,35.0,
94,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",29-06-2021 04:00:00,OZONE,26.0,51.0,36.0,
95,India,Bihar,Patna,"Muradpur, Patna - BSPCB",29-06-2021 04:00:00,PM2.5,38.0,82.0,63.0,
96,India,Bihar,Patna,"Muradpur, Patna - BSPCB",29-06-2021 04:00:00,PM10,83.0,117.0,103.0,
97,India,Bihar,Patna,"Muradpur, Patna - BSPCB",29-06-2021 04:00:00,NO2,19.0,74.0,35.0,
98,India,Bihar,Patna,"Muradpur, Patna - BSPCB",29-06-2021 04:00:00,NH3,2.0,29.0,5.0,
99,India,Bihar,Patna,"Muradpur, Patna - BSPCB",29-06-2021 04:00:00,SO2,1.0,5.0,2.0,
100,India,Bihar,Patna,"Muradpur, Patna - BSPCB",29-06-2021 04:00:00,CO,58.0,111.0,86.0,
101,India,Bihar,Patna,"Muradpur, Patna - BSPCB",29-06-2021 04:00:00,OZONE,7.0,36.0,18.0,
102,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",29-06-2021 04:00:00,PM2.5,48.0,82.0,63.0,
103,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",29-06-2021 04:00:00,PM10,52.0,99.0,80.0,
104,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",29-06-2021 04:00:00,NO2,2.0,27.0,10.0,
105,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",29-06-2021 04:00:00,NH3,2.0,3.0,3.0,
106,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",29-06-2021 04:00:00,SO2,1.0,5.0,3.0,
107,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",29-06-2021 04:00:00,CO,20.0,118.0,53.0,
108,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",29-06-2021 04:00:00,OZONE,1.0,9.0,6.0,
109,India,Bihar,Patna,"Samanpura, Patna - BSPCB",29-06-2021 04:00:00,PM2.5,39.0,100.0,74.0,
110,India,Bihar,Patna,"Samanpura, Patna - BSPCB",29-06-2021 04:00:00,PM10,76.0,131.0,106.0,
111,India,Bihar,Patna,"Samanpura, Patna - BSPCB",29-06-2021 04:00:00,NO2,13.0,48.0,24.0,
112,India,Bihar,Patna,"Samanpura, Patna - BSPCB",29-06-2021 04:00:00,NH3,3.0,4.0,4.0,
113,India,Bihar,Patna,"Samanpura, Patna - BSPCB",29-06-2021 04:00:00,SO2,3.0,9.0,7.0,
114,India,Bihar,Patna,"Samanpura, Patna - BSPCB",29-06-2021 04:00:00,CO,11.0,51.0,19.0,
115,India,Bihar,Patna,"Samanpura, Patna - BSPCB",29-06-2021 04:00:00,OZONE,25.0,64.0,50.0,
116,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",29-06-2021 04:00:00,PM2.5,57.0,160.0,92.0,
117,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",29-06-2021 04:00:00,PM10,111.0,256.0,142.0,
118,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",29-06-2021 04:00:00,NO2,10.0,42.0,21.0,
119,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",29-06-2021 04:00:00,NH3,17.0,26.0,21.0,
120,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",29-06-2021 04:00:00,SO2,7.0,24.0,12.0,
121,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",29-06-2021 04:00:00,CO,21.0,42.0,26.0,
122,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",29-06-2021 04:00:00,OZONE,12.0,116.0,82.0,
123,India,Delhi,Delhi,"Alipur, Delhi - DPCC",29-06-2021 04:00:00,PM2.5,57.0,328.0,179.0,
124,India,Delhi,Delhi,"Alipur, Delhi - DPCC",29-06-2021 04:00:00,PM10,124.0,441.0,244.0,
125,India,Delhi,Delhi,"Alipur, Delhi - DPCC",29-06-2021 04:00:00,NO2,17.0,137.0,67.0,
126,India,Delhi,Delhi,"Alipur, Delhi - DPCC",29-06-2021 04:00:00,NH3,1.0,4.0,3.0,
127,India,Delhi,Delhi,"Alipur, Delhi - DPCC",29-06-2021 04:00:00,SO2,6.0,14.0,10.0,
128,India,Delhi,Delhi,"Alipur, Delhi - DPCC",29-06-2021 04:00:00,CO,17.0,92.0,26.0,
129,India,Delhi,Delhi,"Alipur, Delhi - DPCC",29-06-2021 04:00:00,OZONE,3.0,48.0,22.0,
130,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",29-06-2021 04:00:00,PM2.5,223.0,346.0,290.0,
131,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",29-06-2021 04:00:00,PM10,163.0,348.0,213.0,
132,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",29-06-2021 04:00:00,NO2,39.0,98.0,66.0,
133,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",29-06-2021 04:00:00,NH3,11.0,17.0,14.0,
134,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",29-06-2021 04:00:00,SO2,2.0,9.0,5.0,
135,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",29-06-2021 04:00:00,CO,70.0,107.0,88.0,
136,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",29-06-2021 04:00:00,OZONE,2.0,24.0,18.0,
137,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",29-06-2021 04:00:00,PM2.5,70.0,228.0,163.0,
138,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",29-06-2021 04:00:00,PM10,137.0,205.0,166.0,
139,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",29-06-2021 04:00:00,NO2,18.0,91.0,46.0,
140,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",29-06-2021 04:00:00,NH3,2.0,6.0,4.0,
141,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",29-06-2021 04:00:00,SO2,20.0,38.0,29.0,
142,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",29-06-2021 04:00:00,CO,8.0,103.0,42.0,
143,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",29-06-2021 04:00:00,OZONE,10.0,194.0,99.0,
144,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",29-06-2021 04:00:00,PM2.5,10.0,333.0,182.0,
145,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",29-06-2021 04:00:00,PM10,77.0,184.0,133.0,
146,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",29-06-2021 04:00:00,NO2,3.0,22.0,12.0,
147,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",29-06-2021 04:00:00,CO,78.0,105.0,91.0,
148,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",29-06-2021 04:00:00,OZONE,11.0,58.0,47.0,
149,India,Delhi,Delhi,"Bawana, Delhi - DPCC",29-06-2021 04:00:00,PM2.5,73.0,452.0,188.0,
150,India,Delhi,Delhi,"Bawana, Delhi - DPCC",29-06-2021 04:00:00,PM10,168.0,430.0,219.0,
151,India,Delhi,Delhi,"Bawana, Delhi - DPCC",29-06-2021 04:00:00,NO2,6.0,53.0,20.0,
152,India,Delhi,Delhi,"Bawana, Delhi - DPCC",29-06-2021 04:00:00,NH3,2.0,4.0,3.0,
153,India,Delhi,Delhi,"Bawana, Delhi - DPCC",29-06-2021 04:00:00,SO2,5.0,34.0,11.0,
154,India,Delhi,Delhi,"Bawana, Delhi - DPCC",29-06-2021 04:00:00,CO,23.0,89.0,56.0,
155,India,Delhi,Delhi,"Bawana, Delhi - DPCC",29-06-2021 04:00:00,OZONE,1.0,70.0,39.0,
156,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",29-06-2021 04:00:00,PM2.5,64.0,275.0,150.0,
157,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",29-06-2021 04:00:00,PM10,110.0,393.0,193.0,
158,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",29-06-2021 04:00:00,NO2,17.0,57.0,39.0,
159,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",29-06-2021 04:00:00,CO,70.0,109.0,89.0,
160,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",29-06-2021 04:00:00,OZONE,16.0,76.0,46.0,
161,India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",29-06-2021 04:00:00,PM2.5,94.0,243.0,145.0,
162,India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",29-06-2021 04:00:00,PM10,112.0,500.0,224.0,
163,India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",29-06-2021 04:00:00,NO2,16.0,133.0,48.0,
164,India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",29-06-2021 04:00:00,NH3,8.0,27.0,12.0,
165,India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",29-06-2021 04:00:00,SO2,9.0,11.0,10.0,
166,India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",29-06-2021 04:00:00,CO,30.0,113.0,39.0,
167,India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",29-06-2021 04:00:00,OZONE,5.0,62.0,15.0,
168,India,Delhi,Delhi,"DTU, Delhi - CPCB",29-06-2021 04:00:00,PM2.5,72.0,329.0,182.0,
169,India,Delhi,Delhi,"DTU, Delhi - CPCB",29-06-2021 04:00:00,PM10,115.0,431.0,196.0,
170,India,Delhi,Delhi,"DTU, Delhi - CPCB",29-06-2021 04:00:00,NO2,27.0,106.0,58.0,
171,India,Delhi,Delhi,"DTU, Delhi - CPCB",29-06-2021 04:00:00,NH3,12.0,29.0,21.0,
172,India,Delhi,Delhi,"DTU, Delhi - CPCB",29-06-2021 04:00:00,SO2,8.0,20.0,12.0,
173,India,Delhi,Delhi,"DTU, Delhi - CPCB",29-06-2021 04:00:00,CO,6.0,101.0,37.0,
174,India,Delhi,Delhi,"DTU, Delhi - CPCB",29-06-2021 04:00:00,OZONE,5.0,156.0,49.0,
175,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",29-06-2021 04:00:00,PM2.5,58.0,296.0,134.0,
176,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",29-06-2021 04:00:00,PM10,112.0,198.0,149.0,
177,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",29-06-2021 04:00:00,NO2,30.0,157.0,66.0,
178,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",29-06-2021 04:00:00,NH3,6.0,9.0,8.0,
179,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",29-06-2021 04:00:00,SO2,8.0,17.0,10.0,
180,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",29-06-2021 04:00:00,CO,20.0,95.0,30.0,
181,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",29-06-2021 04:00:00,OZONE,19.0,212.0,182.0,
182,India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",29-06-2021 04:00:00,PM2.5,73.0,392.0,192.0,
183,India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",29-06-2021 04:00:00,PM10,122.0,413.0,222.0,
184,India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",29-06-2021 04:00:00,NO2,12.0,57.0,30.0,
185,India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",29-06-2021 04:00:00,NH3,16.0,26.0,19.0,
186,India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",29-06-2021 04:00:00,SO2,3.0,5.0,4.0,
187,India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",29-06-2021 04:00:00,CO,20.0,74.0,31.0,
188,India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",29-06-2021 04:00:00,OZONE,4.0,83.0,50.0,
189,India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",29-06-2021 04:00:00,PM2.5,43.0,250.0,114.0,
190,India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",29-06-2021 04:00:00,PM10,160.0,191.0,179.0,
191,India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",29-06-2021 04:00:00,NO2,14.0,179.0,39.0,
192,India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",29-06-2021 04:00:00,NH3,8.0,46.0,19.0,
193,India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",29-06-2021 04:00:00,SO2,4.0,18.0,11.0,
194,India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",29-06-2021 04:00:00,CO,16.0,49.0,37.0,
195,India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",29-06-2021 04:00:00,OZONE,7.0,9.0,7.0,
196,India,Delhi,Delhi,"ITO, Delhi - CPCB",29-06-2021 04:00:00,PM2.5,163.0,332.0,271.0,
197,India,Delhi,Delhi,"ITO, Delhi - CPCB",29-06-2021 04:00:00,PM10,167.0,442.0,297.0,
198,India,Delhi,Delhi,"ITO, Delhi - CPCB",29-06-2021 04:00:00,NO2,32.0,45.0,37.0,
199,India,Delhi,Delhi,"ITO, Delhi - CPCB",29-06-2021 04:00:00,NH3,9.0,12.0,10.0,
200,India,Delhi,Delhi,"ITO, Delhi - CPCB",29-06-2021 04:00:00,SO2,1.0,14.0,7.0,
201,India,Delhi,Delhi,"ITO, Delhi - CPCB",29-06-2021 04:00:00,CO,59.0,124.0,69.0,
202,India,Delhi,Delhi,"ITO, Delhi - CPCB",29-06-2021 04:00:00,OZONE,5.0,29.0,18.0,
203,India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",29-06-2021 04:00:00,PM2.5,60.0,288.0,166.0,
204,India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",29-06-2021 04:00:00,PM10,133.0,212.0,176.0,
205,India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",29-06-2021 04:00:00,NO2,19.0,112.0,55.0,
206,India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",29-06-2021 04:00:00,NH3,7.0,11.0,9.0,
207,India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",29-06-2021 04:00:00,SO2,10.0,18.0,12.0,
208,India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",29-06-2021 04:00:00,CO,22.0,102.0,40.0,
209,India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",29-06-2021 04:00:00,OZONE,8.0,97.0,61.0,
